,mean,median,year,week
2007-02-07,0.36571556,0.37,2007,6
2007-02-15,0.43158105,0.45,2007,7
2007-02-23,0.5011303,0.51,2007,8
2007-03-03,0.3695065,0.38,2007,9
2007-03-11,0.42432162,0.45,2007,10
2007-03-19,0.4723111,0.49,2007,12
2007-03-27,0.6618914,0.67,2007,13
2007-04-04,0.6399057,0.65,2007,14
2007-04-12,0.4626738,0.47,2007,15
2007-04-20,0.37109903,0.38,2007,16
2007-04-28,0.36515212,0.36,2007,17
2007-05-06,0.42670584,0.43,2007,18
2007-05-14,0.36401257,0.37,2007,20
2007-05-22,0.37134454,0.38,2007,21
2007-05-30,0.5799822,0.59,2007,22
2007-06-07,0.6382146,0.66,2007,23
2007-06-15,0.76040745,0.8,2007,24
2007-06-23,0.6898483,0.72,2007,25
2007-07-01,0.71461964,0.76,2007,26
2007-07-09,0.5156021,0.53,2007,28
2007-07-17,0.3625001,0.38,2007,29
2007-07-25,0.35986888,0.38,2007,30
2007-08-02,0.40450937,0.41,2007,31
2007-08-10,0.45771012,0.46,2007,32
2007-08-18,0.47958472,0.51,2007,33
2007-08-26,0.50419515,0.51,2007,34
2007-09-03,0.7356769,0.76,2007,36
2007-09-11,0.5081705,0.52,2007,37
2007-09-19,0.53101987,0.55,2007,38
2007-09-27,0.5130844,0.52,2007,39
2007-10-05,0.5163015,0.52,2007,40
2007-10-13,0.34888393,0.35,2007,41
2007-10-21,0.6244094,0.62,2007,42
2007-10-29,0.53831816,0.54,2007,44
2007-11-06,0.39865848,0.39,2007,45
2007-11-14,0.46933594,0.47,2007,46
2007-11-22,0.5800864,0.59,2007,47
2007-11-30,0.30108222,0.3,2007,48
2007-12-08,0.24837582,0.24,2007,49
2007-12-16,0.35856804,0.36,2007,50
2007-12-24,0.41838986,0.43,2007,52
2008-01-01,0.3999859,0.41,2008,1
2008-01-09,0.30411392,0.31,2008,2
2008-01-17,0.32982334,0.33,2008,3
2008-01-25,0.20358492,0.2,2008,4
2008-02-02,0.23548137,0.23,2008,5
2008-02-10,0.3944655,0.4,2008,6
2008-02-18,0.41782668,0.42,2008,8
2008-02-26,0.19623248,0.19,2008,9
2008-03-05,0.44173756,0.45,2008,10
2008-03-13,0.37829426,0.37,2008,11
2008-03-21,0.44513068,0.44,2008,12
2008-03-29,0.24239472,0.23,2008,13
2008-04-06,0.43051973,0.42,2008,14
2008-04-14,0.6215671,0.62,2008,16
2008-04-22,0.5985462,0.61,2008,17
2008-04-30,0.45444497,0.45,2008,18
2008-05-08,0.34731805,0.35,2008,19
2008-05-16,0.57895476,0.59,2008,20
2008-05-24,0.699436,0.72,2008,21
2008-06-01,0.66824585,0.69,2008,22
2008-06-09,0.64485973,0.67,2008,24
2008-06-17,0.51314163,0.52,2008,25
2008-06-25,0.5760579,0.6,2008,26
2008-07-03,0.52885675,0.54,2008,27
2008-07-11,0.8177079,0.85,2008,28
2008-07-19,0.5904835,0.61,2008,29
2008-07-27,0.6216726,0.65,2008,30
2008-08-04,0.6646851,0.69,2008,32
2008-08-12,0.7652471,0.79,2008,33
2008-08-20,0.53458464,0.54,2008,34
2008-08-28,0.5849091,0.59,2008,35
2008-09-05,0.5909694,0.6,2008,36
2008-09-13,0.77966905,0.8,2008,37
2008-09-21,0.6560255,0.67,2008,38
2008-09-29,0.6022823,0.6,2008,40
2008-10-07,0.25122595,0.24,2008,41
2008-10-15,0.29823712,0.28,2008,42
2008-10-23,0.35775122,0.36,2008,43
2008-10-31,0.389929,0.39,2008,44
2008-11-08,0.41541788,0.41,2008,45
2008-11-16,0.34099254,0.33,2008,46
2008-11-24,0.59893113,0.61,2008,48
2008-12-02,0.47615427,0.49,2008,49
2008-12-10,0.3319247,0.3,2008,50
2008-12-18,0.25751838,0.26,2008,51
2008-12-26,0.17613705,0.0,2008,52
2009-01-03,0.028139094,0.0,2009,1
2009-01-11,0.036060486,0.0,2009,2
2009-01-19,0.042220104,0.0,2009,4
2009-01-27,0.19287136,0.0,2009,5
2009-02-04,0.23614518,0.23,2009,6
2009-02-12,0.38850382,0.39,2009,7
2009-02-20,0.3891292,0.39,2009,8
2009-02-28,0.24203794,0.23,2009,9
2009-03-08,0.4147223,0.43,2009,10
2009-03-16,0.3547711,0.36,2009,12
2009-03-24,0.3199809,0.31,2009,13
2009-04-01,0.45403922,0.46,2009,14
2009-04-09,0.45451954,0.46,2009,15
2009-04-17,0.47031963,0.47,2009,16
2009-04-25,0.6276279,0.64,2009,17
2009-05-03,0.3293652,0.33,2009,18
2009-05-11,0.4440161,0.45,2009,20
2009-05-19,0.28624764,0.28,2009,21
2009-05-27,0.3323766,0.33,2009,22
2009-06-04,0.3382375,0.33,2009,23
2009-06-12,0.3921574,0.41,2009,24
2009-06-20,0.5593902,0.58,2009,25
2009-06-28,0.60383445,0.63,2009,26
2009-07-06,0.5897869,0.61,2009,28
2009-07-14,0.63286465,0.65,2009,29
2009-07-22,0.5341478,0.56,2009,30
2009-07-30,0.5184709,0.53,2009,31
2009-08-07,0.504074,0.51,2009,32
2009-08-15,0.34389952,0.35,2009,33
2009-08-23,0.36255878,0.36,2009,34
2009-08-31,0.32975733,0.31,2009,36
2009-09-08,0.40629187,0.42,2009,37
2009-09-16,0.54405993,0.55,2009,38
2009-09-24,0.3812973,0.38,2009,39
2009-10-02,0.37842983,0.38,2009,40
2009-10-10,0.45332655,0.45,2009,41
2009-10-18,0.65305746,0.65,2009,42
2009-10-26,0.38439783,0.38,2009,44
2009-11-03,0.6042473,0.61,2009,45
2009-11-11,0.53810114,0.55,2009,46
2009-11-19,0.29690263,0.3,2009,47
2009-11-27,0.36395192,0.37,2009,48
2009-12-05,0.40048665,0.4,2009,49
2009-12-13,0.50677127,0.52,2009,50
2009-12-21,0.38753003,0.53,2009,52
2009-12-29,0.27989382,0.27,2009,53
