cyclostationary_mean_HS_1w_1,cyclostationary_mean_HS_4w_2
-0.04465733317131684,-0.055013441790506316
-0.044558499167329534,-0.055096506458830866
-0.025224169706372132,-0.047141560461396545
-0.024378932156925482,-0.04669458018593567
-0.08426695884331808,-0.0642137409720138
-0.15781687250289286,-0.0950651571808526
-0.28592426233899826,-0.16738667098211785
-0.5009915157959214,-0.2984341456163686
-0.521465168173313,-0.3798685191265348
-0.6134251240396307,-0.5246252906431954
-0.7603257034126366,-0.637413750998161
-0.46243773175672404,-0.6000768028492666
-0.46032151399142746,-0.620029167557048
-0.900271045749564,-0.761999155800349
-0.9970502363804735,-0.7840115250611183
-1.1020009172710776,-0.9080498320121665
-1.4847566684932718,-1.2210065599903408
-1.8036902463251168,-1.482279111167413
-1.7443022012985558,-1.5817916448073046
-1.6076780030149953,-1.7432948202777403
-1.746925986195553,-1.8574678969963119
-1.602613489293966,-1.7936732723162518
-1.389328177295185,-1.6803468828760924
-1.3884806892040649,-1.6415756944286097
-1.0766661468092853,-1.4533633689140077
-0.5564306655829319,-1.132692873696654
-0.42103175196661186,-0.9482907012557318
-0.42283515721499315,-0.7195608892525138
-0.21487642320796502,-0.44662804121619437
-0.07490493484174263,-0.2913533504076084
-0.049406639763415625,-0.22989823810774196
-0.04376968616402361,-0.130090907055886
-0.0437323144303784,-0.06784894598245826
-0.04404152836858149,-0.05706672824552432
-0.04406472852159315,-0.05466615482618723
-0.04380586955725065,-0.054672652694420364
-0.04373756051939195,-0.054652422568382486
-0.043652520867690385,-0.05463854456097888
