SUBID,LONGITUDE,LATITUDE
8213262,44.8219,63.2129
8207991,45.0481,60.3247
8217030,48.4565,60.2013
8000504,41.5056,63.3118
8209345,43.6582,62.6532
8207759,50.6894,63.979
8209648,41.7538,62.8086
8207492,52.8952,63.7212
8211667,51.0474,60.8084
8207310,54.3749,61.4687
8216643,47.472,60.763
8212199,49.3997,62.2021
8213471,45.3927,63.8331
8206547,54.8817,61.1775
8207346,53.2275,61.4742
8207834,44.1878,60.8724
8212830,42.1055,61.9673
8208480,53.1774,61.9802
8211977,51.9603,61.1667
8213557,46.6626,63.5937
8200264,42.7159,60.8183
8209784,43.4444,62.3688
8209556,40.6711,62.9207
8205158,47.821,61.3498
8204086,42.4509,65.0086
8207835,44.7108,59.9638
8200082,44.2568,63.2945
8208292,51.0344,62.5554
8200308,45.9891,61.8484
8206536,42.9986,59.8155
8216440,47.6318,60.8861
8205250,45.3146,62.4225
8208502,52.1411,61.9524
8212872,42.3606,61.5568
8207237,53.6415,61.1932
8208273,50.2923,62.89
8216364,48.9453,60.6939
8205936,56.5225,61.6001
8204829,44.113,62.2565
8208348,53.079,62.3332
8210907,51.6485,60.1341
8217212,49.1559,59.9289
8200021,43.4194,63.5524
8208047,52.1437,63.4304
8211918,49.1779,61.3689
8209113,43.4119,62.2145
8208226,51.805,62.3361
8200371,42.1404,63.5449
8212278,41.3577,61.2593
8209650,42.2553,62.3696
8216756,49.8456,60.2668
8206364,43.9315,59.8647
8208791,53.152,62.4443
8209515,44.3601,60.6497
8200562,40.641,63.8307
8206300,58.3002,60.8659
8207184,51.3916,63.5868
8211763,48.4707,62.1246
8200218,42.8095,64.747
8200299,52.0279,62.8537
8200413,41.6099,64.5503
8200683,42.1922,61.6625
